id,visitorReviewsTotal,ratingReviewsTotal,avgRating,rating_total_count,Counts_per_Scores,imageReviewCount,authorCount,maxSingleReviewScoreCount,votedKeywords_totalCount,votedKeywords_reviewCount,votedKeywords_userCount
19872990,10425,1441,4.62,10425,"[{'count': 43, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 184, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 16, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 152, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 44, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4277, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 574, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 43, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 792, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 47, 'score': None, '__typename': 'VisitorReviewScore'}]",5465,7093,4277.0,16341,5164,4906
1374828905,3938,1577,4.58,3938,"[{'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1194, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 78, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 333, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 14, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 199, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 72, 'score': None, '__typename': 'VisitorReviewScore'}]",827,2652,1194.0,6949,2312,2240
31204698,3400,1734,4.46,3400,"[{'count': 19, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 441, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 91, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 256, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1146, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 97, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 26, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",578,2373,1146.0,3446,1467,1305
11727502,2255,1280,4.22,2255,"[{'count': 26, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 601, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 84, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 22, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 157, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 105, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 23, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 380, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}]",286,1750,601.0,1811,891,862
1256246739,9240,5014,4.34,9240,"[{'count': 2712, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 64, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 315, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 351, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 37, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 83, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1350, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 646, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 24, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 50, 'score': None, '__typename': 'VisitorReviewScore'}]",1565,6996,2712.0,9232,4001,3816
1795151167,3872,537,0.0,3872,[],2428,2526,,14482,3853,3685
1667822207,3417,1919,4.28,3417,"[{'count': 177, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 271, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1180, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 41, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 27, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 602, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 196, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 37, 'score': None, '__typename': 'VisitorReviewScore'}]",596,2853,1180.0,2155,948,923
1153699096,3364,1816,4.34,3364,"[{'count': 796, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 113, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 112, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 14, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 18, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 453, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 186, 'score': None, '__typename': 'VisitorReviewScore'}]",602,2160,796.0,4220,1742,1568
1383910337,3239,1811,4.49,3239,"[{'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 90, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 79, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1094, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 249, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 503, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}]",532,2103,1094.0,3153,1341,1161
11714447,2343,1461,4.2,2343,"[{'count': 117, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 194, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 737, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 85, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 16, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 48, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 23, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 28, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 414, 'score': None, '__typename': 'VisitorReviewScore'}]",215,1860,737.0,1563,725,684
